tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
FC1-2a		FC1-2										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-2a	FC1-2a_LP-DIR-AF	FC1-2		lc	171.5	-10.3	2	4	-1	94.6	2.8	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 13:39:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-2a	FC1-2a_LP-DIR-AF	FC1-2		mc	115.2	69.7	2	17	-1	1.7	8.1	Intrusive	Pluton	Gabbro	0.12	0.05	T		hargrave 2019-10-31 13:39:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-2a	FC1-2a_LP-DIR-AF	FC1-2		lc	93.9	45.9	2	4	0	94.6	2.8	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 13:39:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-2a	FC1-2a_LP-DIR-AF	FC1-2		mc	309.9	39.4	2	17	0	1.7	8.1	Intrusive	Pluton	Gabbro	0.12	0.05	T		hargrave 2019-10-31 13:39:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-2b	FC1-2b_LP-DIR-T	FC1-2		lt	112.3	58.6	2	6	0	72.5	7.4	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:08:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-2b	FC1-2b_LP-DIR-T	FC1-2		lt	183.3	1.7	2	6	-1	72.5	7.4	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:08:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-2b	FC1-2b_LP-DIR-T	FC1-2		mt	270.3	80.5	2	5	-1	3.1	3.6	Intrusive	Pluton	Gabbro	851	839	K		hargrave 2020-03-14 14:08:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-2b		FC1-2										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC1-2b	FC1-2b_LP-DIR-T	FC1-2		mt	274.7	32.4	2	5	0	3.1	3.6	Intrusive	Pluton	Gabbro	851	839	K		hargrave 2020-03-14 14:08:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-3a	FC1-3a_LP-DIR-AF	FC1-3		lc	179.0	-16.6	2	4	-1	70	3.4	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 02:38:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-3a	FC1-3a_LP-DIR-AF	FC1-3		mc	135.3	65.4	2	18	-1	3	2.2	Intrusive	Pluton	Gabbro	0.044	0.01	T		hargrave 2019-10-31 02:38:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-3a	FC1-3a_LP-DIR-AF	FC1-3		lc	96.9	49.4	2	4	0	70	3.4	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 02:38:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-3a	FC1-3a_LP-DIR-AF	FC1-3		mc	300.8	39.8	2	18	0	3	2.2	Intrusive	Pluton	Gabbro	0.044	0.01	T		hargrave 2019-10-31 02:38:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-3a		FC1-3										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-3b	FC1-3b_LP-DIR-T	FC1-3		lt	156.9	8.7	2	11	-1	47.5	5.1	Intrusive	Pluton	Gabbro	773	373	K		hargrave 2020-03-14 14:09:30	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-3b	FC1-3b_LP-DIR-T	FC1-3		mt	128.8	73.2	2	10	-1	0.8	1.9	Intrusive	Pluton	Gabbro	873	833	K		hargrave 2020-03-14 14:09:30	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-3b	FC1-3b_LP-DIR-T	FC1-3		lt	39.3	63.2	2	11	0	47.5	5.1	Intrusive	Pluton	Gabbro	773	373	K		hargrave 2020-03-14 14:09:30	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-3b	FC1-3b_LP-DIR-T	FC1-3		mt	294.1	33.7	2	10	0	0.8	1.9	Intrusive	Pluton	Gabbro	873	833	K		hargrave 2020-03-14 14:09:30	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-3b		FC1-3										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC1-4a	FC1-4a_LP-DIR-AF	FC1-4		mc	77.4	75.3	2	16	-1	18	5.4	Intrusive	Pluton	Gabbro	0.12	0.054	T		hargrave 2019-10-31 03:46:46	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-4a	FC1-4a_LP-DIR-AF	FC1-4		lc	179.1	-1.6	2	4	-1	93.8	2.4	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 03:46:46	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-4a	FC1-4a_LP-DIR-AF	FC1-4		mc	296.4	37.3	2	16	0	18	5.4	Intrusive	Pluton	Gabbro	0.12	0.054	T		hargrave 2019-10-31 03:46:46	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-4a	FC1-4a_LP-DIR-AF	FC1-4		lc	97.0	46.4	2	4	0	93.8	2.4	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 03:46:46	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-4a		FC1-4										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-4b	FC1-4b_LP-DIR-T	FC1-4		mt	293.5	28	2	5	0	13.6	2	Intrusive	Pluton	Gabbro	841	823	K		hargrave 2020-03-14 14:10:58	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-4b	FC1-4b_LP-DIR-T	FC1-4		lt	336.0	44	2	12	0	30.5	18	Intrusive	Pluton	Gabbro	773	273	K		hargrave 2020-03-14 14:10:58	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-4b	FC1-4b_LP-DIR-T	FC1-4		lt	113.1	48.7	2	12	-1	30.5	18	Intrusive	Pluton	Gabbro	773	273	K		hargrave 2020-03-14 14:10:58	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-4b	FC1-4b_LP-DIR-T	FC1-4		mt	46.4	71.4	2	5	-1	13.6	2	Intrusive	Pluton	Gabbro	841	823	K		hargrave 2020-03-14 14:10:58	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-4b		FC1-4										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC1-5a	FC1-5a_LP-DIR-AF	FC1-5		mc	305.2	31.9	2	15	0	13.8	4.1	Intrusive	Pluton	Gabbro	0.1	0.046	T		hargrave 2019-10-31 04:52:02	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-5a	FC1-5a_LP-DIR-AF	FC1-5		lc	186.5	-6.5	2	4	-1	95.2	6.1	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 04:52:02	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-5a	FC1-5a_LP-DIR-AF	FC1-5		mc	93.2	56.8	2	15	-1	13.8	4.1	Intrusive	Pluton	Gabbro	0.1	0.046	T		hargrave 2019-10-31 04:52:02	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-5a		FC1-5										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-5a	FC1-5a_LP-DIR-AF	FC1-5		lc	94.5	46.1	2	4	0	95.2	6.1	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 04:52:02	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-5b		FC1-5										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC1-5b	FC1-5b_LP-DIR-T	FC1-5		mt	71.7	69.9	2	6	-1	0.2	1.9	Intrusive	Pluton	Gabbro	873	844	K		hargrave 2020-03-14 14:12:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-5b	FC1-5b_LP-DIR-T	FC1-5		lt	170.2	48.8	2	12	-1	19.2	16.2	Intrusive	Pluton	Gabbro	773	273	K		hargrave 2020-03-14 14:12:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-5b	FC1-5b_LP-DIR-T	FC1-5		mt	287.0	28.6	2	6	0	0.2	1.9	Intrusive	Pluton	Gabbro	873	844	K		hargrave 2020-03-14 14:12:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-5b	FC1-5b_LP-DIR-T	FC1-5		lt	293.4	76.2	2	12	0	19.2	16.2	Intrusive	Pluton	Gabbro	773	273	K		hargrave 2020-03-14 14:12:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-6a	FC1-6a_LP-DIR-AF	FC1-6		mc	317.8	54.8	2	9	0	10.5	1.7	Intrusive	Pluton	Gabbro	0.024	0.009	T		hargrave 2019-10-31 05:58:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-6a	FC1-6a_LP-DIR-AF	FC1-6		lc	61.4	43.5	2	4	0	58.9	3	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 05:58:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-6a	FC1-6a_LP-DIR-AF	FC1-6		mc	137.4	51.8	2	9	-1	10.5	1.7	Intrusive	Pluton	Gabbro	0.024	0.009	T		hargrave 2019-10-31 05:58:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-6a		FC1-6										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-6a	FC1-6a_LP-DIR-AF	FC1-6		lc	158.6	-7.9	2	4	-1	58.9	3	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 05:58:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-6b	FC1-6b_LP-DIR-T	FC1-6		mt	113.1	61.5	2	10	-1	1.2	2.8	Intrusive	Pluton	Gabbro	873	833	K		hargrave 2020-03-14 14:13:44	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-6b	FC1-6b_LP-DIR-T	FC1-6		lt	172.7	24.9	2	6	-1	46.1	14	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:13:44	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-6b	FC1-6b_LP-DIR-T	FC1-6		mt	306.3	40.3	2	10	0	1.2	2.8	Intrusive	Pluton	Gabbro	873	833	K		hargrave 2020-03-14 14:13:44	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-6b	FC1-6b_LP-DIR-T	FC1-6		lt	54.6	78.9	2	6	0	46.1	14	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:13:44	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-6b		FC1-6										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC1-7a		FC1-7										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-7a	FC1-7a_LP-DIR-AF	FC1-7		lc	81.9	48.3	2	4	0	92.9	3.2	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 07:07:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-7a	FC1-7a_LP-DIR-AF	FC1-7		mc	301.9	14.8	2	29	0	26.2	1.5	Intrusive	Pluton	Gabbro	0.082	0.01	T		hargrave 2019-10-31 07:07:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-7a	FC1-7a_LP-DIR-AF	FC1-7		mc	58.4	67.5	2	29	-1	26.2	1.5	Intrusive	Pluton	Gabbro	0.082	0.01	T		hargrave 2019-10-31 07:07:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-7a	FC1-7a_LP-DIR-AF	FC1-7		lc	166.4	-11.5	2	4	-1	92.9	3.2	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 07:07:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-7b		FC1-7										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC1-7b	FC1-7b_LP-DIR-T	FC1-7		mt	294.6	37	2	11	0	0.9	2	Intrusive	Pluton	Gabbro	873	823	K		hargrave 2020-03-14 14:15:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-7b	FC1-7b_LP-DIR-T	FC1-7		mt	133.8	76.2	2	11	-1	0.9	2	Intrusive	Pluton	Gabbro	873	823	K		hargrave 2020-03-14 14:15:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-7b	FC1-7b_LP-DIR-T	FC1-7		lt	157.5	22.1	2	6	-1	46.5	12.1	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:15:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-7b	FC1-7b_LP-DIR-T	FC1-7		lt	23.1	68.8	2	6	0	46.5	12.1	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:15:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-8a	FC1-8a_LP-DIR-AF	FC1-8		lc	175.8	18	2	4	-1	55	1.9	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 08:15:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-8a	FC1-8a_LP-DIR-AF	FC1-8		mc	274.5	48	2	9	0	4.5	3.1	Intrusive	Pluton	Gabbro	0.03	0.014	T		hargrave 2019-10-31 08:15:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-8a	FC1-8a_LP-DIR-AF	FC1-8		mc	233.8	80.6	2	9	-1	4.5	3.1	Intrusive	Pluton	Gabbro	0.03	0.014	T		hargrave 2019-10-31 08:15:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-8a	FC1-8a_LP-DIR-AF	FC1-8		lc	96.6	64.7	2	4	0	55	1.9	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 08:15:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-8a		FC1-8										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-8b		FC1-8										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC1-8b	FC1-8b_LP-DIR-T	FC1-8		mt	147.1	83.2	2	11	-1	1.2	1.8	Intrusive	Pluton	Gabbro	873	823	K		hargrave 2020-03-14 14:16:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-8b	FC1-8b_LP-DIR-T	FC1-8		lt	181.7	51.5	2	4	-1	25.1	12.8	Intrusive	Pluton	Gabbro	473	273	K		hargrave 2020-03-14 14:16:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-8b	FC1-8b_LP-DIR-T	FC1-8		mt	291.5	48.6	2	11	0	1.2	1.8	Intrusive	Pluton	Gabbro	873	823	K		hargrave 2020-03-14 14:16:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-8b	FC1-8b_LP-DIR-T	FC1-8		lt	278.9	81.4	2	4	0	25.1	12.8	Intrusive	Pluton	Gabbro	473	273	K		hargrave 2020-03-14 14:16:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-9a	FC1-9a_LP-DIR-AF	FC1-9		lc	160.7	-26.4	2	4	-1	75.9	3.8	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 14:47:49	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-9a	FC1-9a_LP-DIR-AF	FC1-9		mc	179.1	48.1	2	18	-1	14.1	2.9	Intrusive	Pluton	Gabbro	0.1	0.04	T		hargrave 2019-10-31 14:47:49	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-9a		FC1-9										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-9a	FC1-9a_LP-DIR-AF	FC1-9		mc	304.7	49.9	2	18	0	14.1	2.9	Intrusive	Pluton	Gabbro	0.1	0.04	T		hargrave 2019-10-31 14:47:49	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-9a	FC1-9a_LP-DIR-AF	FC1-9		lc	95.9	50.8	2	4	0	75.9	3.8	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 14:47:49	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-9b	FC1-9b_LP-DIR-T	FC1-9		mt	222.5	65.5	2	10	-1	0.7	1.9	Intrusive	Pluton	Gabbro	873	833	K		hargrave 2020-03-14 14:18:04	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-9b	FC1-9b_LP-DIR-T	FC1-9		mt	285.7	25.4	2	10	0	0.7	1.9	Intrusive	Pluton	Gabbro	873	833	K		hargrave 2020-03-14 14:18:04	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-9b	FC1-9b_LP-DIR-T	FC1-9		lt	79.7	56.9	2	8	0	82.6	9.4	Intrusive	Pluton	Gabbro	673	273	K		hargrave 2020-03-14 14:18:04	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-9b	FC1-9b_LP-DIR-T	FC1-9		lt	156.7	-15.8	2	8	-1	82.6	9.4	Intrusive	Pluton	Gabbro	673	273	K		hargrave 2020-03-14 14:18:04	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-9b		FC1-9										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
FC4-1a	FC4-1a_LP-DIR-AF	FC4-1		mc	261.6	39.8	2	7	-1	4.7	1.9	Intrusive	Pluton	Gabbro	0.13	0.1	T		hargrave 2019-10-31 16:27:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC4-1a	FC4-1a_LP-DIR-AF	FC4-1		lc	311.8	18.3	2	11	-1	15	1.9	Intrusive	Pluton	Gabbro	0.01	0	T		hargrave 2019-10-31 16:27:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC4-1a	FC4-1a_LP-DIR-AF	FC4-1		mc	307.3	27.3	2	7	0	4.7	1.9	Intrusive	Pluton	Gabbro	0.13	0.1	T		hargrave 2019-10-31 16:27:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC4-1a	FC4-1a_LP-DIR-AF	FC4-1		lc	317.3	-19.8	2	11	0	15	1.9	Intrusive	Pluton	Gabbro	0.01	0	T		hargrave 2019-10-31 16:27:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC4-1a		FC4-1										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC4-2a	FC4-2a_LP-DIR-AF	FC4-2		lc	302.9	54.5	2	11	-1	13	2.2	Intrusive	Pluton	Gabbro	0.01	0	T		hargrave 2019-10-31 17:38:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC4-2a	FC4-2a_LP-DIR-AF	FC4-2		mc	227.0	23.8	2	7	-1	15.6	2.6	Intrusive	Pluton	Gabbro	0.13	0.1	T		hargrave 2019-10-31 17:38:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC4-2a	FC4-2a_LP-DIR-AF	FC4-2		lc	311.7	-27.7	2	11	0	13	2.2	Intrusive	Pluton	Gabbro	0.01	0	T		hargrave 2019-10-31 17:38:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC4-2a		FC4-2										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC4-2a	FC4-2a_LP-DIR-AF	FC4-2		mc	292.6	32.4	2	7	0	15.6	2.6	Intrusive	Pluton	Gabbro	0.13	0.1	T		hargrave 2019-10-31 17:38:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC4-3a	FC4-3a_LP-DIR-AF	FC4-3		lc	325.9	7.3	2	11	-1	22.4	0.9	Intrusive	Pluton	Gabbro	0.01	0	T		hargrave 2019-10-31 18:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC4-3a	FC4-3a_LP-DIR-AF	FC4-3		mc	255.8	12.8	2	14	-1	10.5	2.4	Intrusive	Pluton	Gabbro	0.13	0.07	T		hargrave 2019-10-31 18:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC4-3a	FC4-3a_LP-DIR-AF	FC4-3		mc	278.5	18.9	2	14	0	10.5	2.4	Intrusive	Pluton	Gabbro	0.13	0.07	T		hargrave 2019-10-31 18:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC4-3a	FC4-3a_LP-DIR-AF	FC4-3		lc	322.5	-36.1	2	11	0	22.4	0.9	Intrusive	Pluton	Gabbro	0.01	0	T		hargrave 2019-10-31 18:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC4-3a		FC4-3										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC4-4a		FC4-4										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC4-5a		FC4-5										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
